SYS_ID,BRAND,YY,SEASON,YYSEASON,STYLE_NO,STYLE_PO_NO,DEGREE,ITEM,SELLINGPRICE,MFGCOST,MARKUP,PURCHASEPRICE
FNF,X,25,N,25N,DXCR5125N,DXCR5125NK0001,K0001,CR,69000,10000,6,10000
FNF,X,25,N,25N,DXSG5045N,DXSG5045NK0001,K0001,SG,89000,10000,8,10000
FNF,X,25,N,25N,DXSG5065N,DXSG5065NK0001,K0001,SG,89000,10000,8,10000
FNF,X,25,N,25N,DXCR5145N,DXCR5145NK0001,K0001,CR,79000,10000,7,10000
FNF,X,25,N,25N,DXBK5055N,DXBK5055NK0001,K0001,BK,129000,10000,12,10000
FNF,X,25,N,25N,DXHS5085N,DXHS5085NK0001,K0001,HS,79000,10000,7,10000
FNF,X,25,N,25N,DXSG5105N,DXSG5105NK0001,K0001,SG,99000,10000,9,10000
FNF,X,25,N,25N,DXCR5095N,DXCR5095NK0001,K0001,CR,69000,10000,6,10000
FNF,M,25,N,25N,3AORM015N,3AORM015NK0002,K0002,OR,159000,22199,7,21800
FNF,M,25,N,25N,3ACPV035N,3ACPV035NK0002,K0002,CP,43000,6106,6,6040
FNF,M,25,N,25N,3ACPD015N,3ACPD015NK0002,K0002,CP,49000,6278,7,6210
FNF,M,25,3,25S,3AMCV0153,3AMCV0153K0003,K0003,MC,59000,7723,7,7590
FNF,X,25,N,25N,DXCR5135N,DXCR5135NK0001,K0001,CR,99000,10000,9,10000
FNF,X,25,N,25N,DXCR5075N,DXCR5075NK0001,K0001,CR,79000,10000,7,10000
FNF,X,25,N,25N,DXBK5025N,DXBK5025NK0001,K0001,BK,129000,10000,12,10000
FNF,X,25,N,25N,DXCR5035N,DXCR5035NK0001,K0001,CR,69000,10000,6,10000
FNF,M,25,N,25N,3ACPV165N,3ACPV165NK0003,K0003,CP,49000,6986,6,6910
FNF,X,25,6,25F,DMJP31056,DMJP31056K0001,K0001,JP,439000,10000,40,10000
FNF,I,25,3,25S,7ATSEB153,7ATSEB153K0001,K0001,TS,59000,12140,4,12020
FNF,X,25,6,25F,DXMT75056,DXMT75056K0001,K0001,MT,99000,10000,0,10000
FNF,M,25,6,25F,3FDJB4156,3FDJB4156K0001,K0001,DJ,299000,121,2248,1
FNF,I,25,N,25N,7FCP7705N,7FCP7705NK0004,K0004,CP,33000,6950,4,6900
FNF,X,25,6,25F,DMDJ51056,DMDJ51056C0001,C0001,DJ,279000,10000,25,10000
FNF,X,25,6,25F,DWDJ7H056,DWDJ7H056C0001,C0001,DJ,399000,10000,36,10000
FNF,X,25,6,25F,DMDJ7G056,DMDJ7G056C0001,C0001,DJ,399000,10000,36,10000
FNF,I,25,6,25F,7AWBCB756,7AWBCB756K0002,K0002,WB,99000,10,9000,10
FNF,I,25,6,25F,7AWBCB856,7AWBCB856K0001,K0001,WB,89000,23470,3,23010
FNF,M,25,6,25F,3ABNB1156,3ABNB1156K0002,K0002,BN,43000,51,768,1
FNF,M,25,N,25N,3ASHWD15N,3ASHWD15NC0019,C0019,SH,179000,60,2712,10
FNF,M,25,N,25N,3ASHWD15N,3ASHWD15NC0020,C0020,SH,179000,60,2712,10
FNF,M,25,6,25F,3FWPB1856,3FWPB1856C0001,C0001,WP,149000,121,1120,1
FNF,X,25,6,25F,DMDJ73056,DMDJ73056K0001,K0001,DJ,199000,83640,2,83640
FNF,X,25,6,25F,DMDJ79056,DMDJ79056K0001,K0001,DJ,299000,74070,4,74070
FNF,X,25,6,25F,DMDJ83056,DMDJ83056C0001,C0001,DJ,299000,10000,27,10000
FNF,X,25,6,25F,DMDJ83056,DMDJ83056D0001,D0001,DJ,299000,10000,27,10000
FNF,I,25,N,25N,7ACPVTB5N,7ACPVTB5NK0002,K0002,CP,36000,6850,5,6800
FNF,I,25,3,25S,7ACPVT153,7ACPVT153K0003,K0003,CP,49000,6750,7,6700
FNF,I,25,3,25S,7ACPV0253,7ACPV0253K0002,K0002,CP,53000,6650,7,6600
FNF,I,25,3,25S,7ACPC0153,7ACPC0153K0002,K0002,CP,53000,8050,6,8000
FNF,I,25,N,25N,7FCP7705N,7FCP7705NK0003,K0003,CP,33000,6950,4,6900
FNF,I,25,N,25N,7ACPVT85N,7ACPVT85NK0003,K0003,CP,43000,7950,5,7900
FNF,I,25,3,25S,7FCP44053,7FCP44053K0002,K0002,CP,53000,9150,5,9100
FNF,I,25,3,25S,7ACP77053,7ACP77053K0002,K0002,CP,43000,6060,6,6010
FNF,I,25,3,25S,7ACP66053,7ACP66053K0002,K0002,CP,43000,6450,6,6400
FNF,M,25,6,25F,3FPTB1656,3FPTB1656K0001,K0001,PT,119000,121,895,1
FNF,M,25,N,25N,3ACPB045N,3ACPB045NK0014,K0014,CP,39000,5530,6,5420
FNF,M,25,N,25N,3ACPV055N,3ACPV055NK0007,K0007,CP,46000,6975,6,6820
FNF,M,25,N,25N,3ACPB055N,3ACPB055ND0002,D0002,CP,39000,5640,6,5590
FNF,M,25,N,25N,3ACPV165N,3ACPV165ND0002,D0002,CP,49000,51,875,1
FNF,M,25,N,25N,3ABQMV55N,3ABQMV55NG0002,G0002,BQ,129000,51,2304,1
FNF,M,25,N,25N,3ABMMV75N,3ABMMV75NG0001,G0001,BM,139000,51,2482,1
FNF,M,25,N,25N,3ABMMV55N,3ABMMV55NG0002,G0002,BM,109000,51,1946,1
FNF,M,25,N,25N,3ABKM065N,3ABKM065NG0001,G0001,BK,159000,51,2839,1
FNF,M,25,N,25N,3ACPV165N,3ACPV165NK0004,K0004,CP,49000,7319,6,7190
FNF,M,25,6,25F,3AHTB0856,3AHTB0856K0002,K0002,HT,79000,51,1411,1
FNF,M,25,6,25F,3ABNBM256,3ABNBM256K0002,K0002,BN,43000,51,768,1
FNF,M,25,N,25N,3ARNP015N,3ARNP015NT0002,T0002,RN,179000,28510,6,28460
FNF,M,25,N,25N,3ACPY015N,3ACPY015NK0001,K0001,CP,37000,7300,5,7300
FNF,M,25,3,25S,3ATSB6053,3ATSB6053C0001,C0001,TS,59000,10690,5,10570
FNF,X,25,N,25N,DXBZ1205N,DXBZ1205NK0002,K0002,BZ,109000,23300,4,23300
FNF,M,25,N,25N,3ACRB045N,3ACRB045NG0002,G0002,CR,79000,16296,4,15990
FNF,M,25,N,25N,3ABQB045N,3ABQB045NG0002,G0002,BQ,69000,10261,6,10050
FNF,M,25,6,25F,3AWMB0256,3AWMB0256G0001,G0001,WM,79000,51,1411,1
FNF,M,25,6,25F,3ABNB1156,3ABNB1156G0001,G0001,BN,43000,51,768,1
FNF,M,25,6,25F,3ABNV0756,3ABNV0756G0001,G0001,BN,49000,51,875,1
FNF,M,25,6,25F,3ABNV0856,3ABNV0856G0001,G0001,BN,59000,51,1054,1
FNF,M,25,N,25N,3ASHVT35N,3ASHVT35NT0001,T0001,SH,139000,21210,6,21160
FNF,X,25,6,25F,DMDJ83056,DMDJ83056K0001,K0001,DJ,299000,82650,3,82650
FNF,M,25,4,25F,3APTB0754,3APTB0754G0002,G0002,PT,149000,121,1120,1
FNF,M,25,4,25F,3AWPB0454,3AWPB0454G0002,G0002,WP,139000,121,1045,1
FNF,M,25,4,25F,3ASMB0354,3ASMB0354G0002,G0002,SM,99000,121,744,1
FNF,M,25,4,25F,3ATRB0354,3ATRB0354G0002,G0002,TR,159000,27440,5,1
FNF,M,25,4,25F,3ATSM1054,3ATSM1054G0002,G0002,TS,89000,13247,6,1
FNF,M,25,4,25F,3AWJB0254,3AWJB0254G0002,G0002,WJ,239000,121,1797,1
FNF,M,25,4,25F,3FSKB0454,3FSKB0454G0002,G0002,SK,139000,121,1045,1
FNF,M,25,6,25F,3FWPB0156,3FWPB0156G0002,G0002,WP,149000,121,1120,1
FNF,M,25,4,25F,3AMTM1154,3AMTM1154G0002,G0002,MT,149000,20948,6,1
FNF,M,25,4,25F,3AWPB0254,3AWPB0254G0002,G0002,WP,119000,121,895,1
FNF,M,25,4,25F,3FSKB0654,3FSKB0654G0002,G0002,SK,109000,121,820,1
FNF,M,25,N,25N,3ASODA15N,3ASODA15NG0003,G0003,SO,19900,3200,6,3150
FNF,I,25,N,25N,7ACRMD65N,7ACRMD65NK0005,K0005,CR,89000,17050,5,17000
FNF,I,25,N,25N,7ACRMD55N,7ACRMD55NK0006,K0006,CR,89000,20050,4,20000
FNF,M,25,3,25S,3ATSB6553,3ATSB6553T0001,T0001,TS,79000,121,594,1
FNF,M,25,3,25S,3FTSB6753,3FTSB6753T0001,T0001,TS,59000,8120,7,8000
FNF,M,25,3,25S,3ATSB6453,3ATSB6453T0001,T0001,TS,69000,11370,6,11250
FNF,M,25,3,25S,3ATSB6653,3ATSB6653T0001,T0001,TS,79000,1,79000,1
FNF,X,25,N,25N,DKSH7245N,DKSH7245NK0002,K0002,SH,89000,19000,4,19000
FNF,M,25,N,25N,3ASXS015N,3ASXS015NC0010,C0010,SX,159000,60,2409,10
FNF,M,25,N,25N,3ACPB105N,3ACPB105NG0002,G0002,CP,46000,6743,6,6620
FNF,M,25,6,25F,3AWMV0356,3AWMV0356G0001,G0001,WM,69000,51,1232,1
FNF,M,25,6,25F,3AHTB0856,3AHTB0856G0001,G0001,HT,79000,51,1411,1
FNF,M,25,6,25F,3AHTB0156,3AHTB0156G0001,G0001,HT,59000,51,1054,1
FNF,M,25,6,25F,3ABNV1056,3ABNV1056G0001,G0001,BN,63000,51,1125,1
FNF,M,25,N,25N,3ACPB095N,3ACPB095NG0002,G0002,CP,39000,51,696,1
FNF,M,25,N,25N,3ARNP035N,3ARNP035NC0002,C0002,RN,179000,28510,6,28460
